41,RAKESH SHARMA , JAMMU SANSKRITI SCHOOL,,CBSE,2800,,,BISHNAH JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,AIR FORCE SCHOOL,,CBSE,900,,,"SATWARI CANTT JAMMU",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,ARMY PUBLIC SCHOOL,,CBSE,1116,,,"SAINIK COLONY RATNUCHALK JAMMU",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,ARMY PUBLIC SCHOOL,,CBSE,500,,,"DHAR ROAD UDHAMPUR",Jammu and Kashmir ,Udhampur
41,RAKESH SHARMA ,ARMY PUBLIC SCHOOL,,CBSE,2592,,,"NEAR T MORE UDHAMPUR",Jammu and Kashmir ,Udhampur
41,RAKESH SHARMA ,ARMY SCHOOL,,CBSE,2340,,,KALUCHAK,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,BANYAN INTERNATIONAL SCHOOL,,CBSE,2340,,,KALUCHAK,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,BANYAN INTERNATIONAL SCHOOL,,CBSE,2000,,,BABLINA JEEWAN NAGAR,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,BHARGAWA PUBLIC SCHOOL,,,800,,,"JAMWAL FILLING STATION SAMBA",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,BHRAM RISHI BHAMWRA SHANTI,,CBSE,2200,,,dina nagar udhampur,Jammu and Kashmir ,Udhampur
41,RAKESH SHARMA ,BSF SR. SEC. SCHOOL,,,3000,,,AKHNOOR ROAD,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,CALVERY MISSION,,STATE,700,,,SUMBA ROAD,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,CYBERNETICS SEC SCHOOL,,CBSE,500,,,JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,D.A.V COLLEGIATE SCHOOL,,CBSE,1000,,,"LACCHIPUR MORE KATHUA",Jammu and Kashmir ,Kathua
41,RAKESH SHARMA ,D.S HERITAGE SCHOOL,,CBSE,800,,,"BARWAL MORH KATHUA",Jammu and Kashmir ,Kathua
41,RAKESH SHARMA ,DELHI PUBLIC SCHOOL,,CBSE,3912,,,"MAHARAJA HARI SINGH MARG JAMMU",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,DELHI PUBLIC SCHOOL,,CBSE,600,,,"RATHIAN UDHAMPUR",Jammu and Kashmir ,Udhampur
41,RAKESH SHARMA ,DEWAN BADRINATH SCHOOL,,CBSE,800,,,"AMAR VILLA GARDEN AVENUE JAMMU",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,DPS RAJ BAGH,,CBSE,800,,,mainchowk raj bagh kathua,Jammu and Kashmir ,Kathua
41,RAKESH SHARMA ,G. D. GOIYANKA PUBLIC SCHOOL,,CBSE,700,,,KHO MANASA JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,HERITAGE SCHOOL,,CBSE,1356,,,"CHOWADI SANIL COLONY JAMMU",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,HERITAGE SCHOOL,,CBSE,1500,,,"CHOWADI,SECTOR D SANIK COLONY",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,INTERNATIONAL D P S,,CBSE,500,,,"CHOWADI,SECTOR D SANIK COLONY",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,J K PUBLIC SCHOOL ,,CBSE,700,,,KATHUA,Jammu and Kashmir ,Kathua
41,RAKESH SHARMA ,J P WORLD SCHOOL,,CBSE,828,,,CHANNI HIMMAT JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,J. K. PUBLIC SCHOOL,,CBSE,2000,,,KUNJAWANI TALAB JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,J.K PUBLIC SCHOOL,,CBSE,800,,,"BARWAL MORH NATIONAL HIGHWAY KATHUA",Jammu and Kashmir ,Kathua
41,RAKESH SHARMA ,JNV RAAKH JAGANOO,,CBSE,756,,,"RAAKH JAGANOO UDHAMPUR",Jammu and Kashmir ,Udhampur
41,RAKESH SHARMA ,JODHA MAL PUBLIC SCHOOL,,CBSE,1812,,,OPP SANIK COLONY JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,JP WORLD SCHOOL,,CBSE,828,,,NH 1A CHANNI HIMAT,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,K C GURUKUL SCHOOL,,CBSE,400,,,PALOURA JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,K C GURUKUL SCHOOL,,CBSE,500,,,UDHAMPUR,Jammu and Kashmir ,Udhampur
41,RAKESH SHARMA ,K. C. INTER. SCHOOL,,CBSE,1200,,,AKHNOOR ROAD JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,K. C. PUBLIC SCHOOL,,CBSE,2352,,,AKHNOOR ROAD JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,KARTAR PUBLIC SCHOOL,,CBSE,1100,,,KATHUA,Jammu and Kashmir ,Kathua
41,RAKESH SHARMA ,KC GURUKUL PUBLIC SCHOOL,,CBSE,500,,,"JAKHAN UDHAMPUR",Jammu and Kashmir ,Udhampur
41,RAKESH SHARMA ,KC PUBLIC SCHOOL,,CBSE,400,,,"HQ 1BC ROAD JAMMU",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,KC PUBLIC SCHOOL,,CBSE,2352,,,"OPP. BSF SCHOOL JAMMU",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,KENDRIYA VIDYALAYA,,CBSE,2616,,,"P.O. GARHI UDHAMPUR",Jammu and Kashmir ,Udhampur
41,RAKESH SHARMA ,M V INTERNATIONAL SCHOOL,,CBSE,1100,,,VIJAY PUR,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,M.I.E.R SCHOOL (MODEL ACADEMY ),,CBSE,800,,,B C ROAD JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,M.V INTERNATIONAL SCHOOL,,CBSE,1100,,,"17 MILES SAMBA",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,MAHARAJA HARI SINGH DAV SCHOOL,,CBSE,3264,,,NAGBANI DOMANA,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,MAHARISHI VIDYA MANDIR,,CBSE,900,,,"MAHARISHI PURAM JAMMU",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,MINERVA PUBLIC SCHOOL,,CBSE,850,,,"KALIBARI WARD NO.4 JAMMU",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,MODEL ACADEMY,,CBSE,800,,,"BC ROAD JAMMU",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,POLICE PUBLIC SCHOOL,,CBSE,1200,,,MIRAN SAHIB R S PURA,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,PRESENTATION CONVENT SCHOOL,,CBSE,2472,,,GANDHI NAGAR JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,R M PUBLIC SCHOOL,,CBSE,1200,,,SANIK COLONY JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,RAJOURI DPS,,CBSE,700,,,main highway rajouri,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,RICH HARVEST SCHOOL,,CBSE,1500,,,BARI BHRAMANA,Jammu and Kashmir ,Bari Brahmana
41,RAKESH SHARMA ,SANIK SCHOOL NAGROTA,,CBSE,1200,,,NAGROTA,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SHAURYA ARMY SCHOOL,,CBSE,700,,,RATTNU CHACK JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SOS HERMAN SCHOOL ,,CBSE,1128,,,JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,STEPHENS INTERNATIONAL PUBLIC SCHOOL,,CBSE,1744,,,MIRAN SAHIB R S PURA,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,TIGER ARMY SCHOOL,,CBSE,1200,,,SATWARI CONTOTMENT JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,AMBEDKAR PUBLIC SCHOOL,,STATE BOARD,1200,,,BANTALAB JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,BRIGHT CARRIER PUBLIC SCHOOL,,STATE BOARD,600,,,UDHAMPUR,Jammu and Kashmir ,Udhampur
41,RAKESH SHARMA ,CALVERY MISSION SCHOOL,,STATE BOARD,800,,,SAMBA,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,CARMEL CONVENT,,STATE BOARD,1500,,,KUNJAWANI TALAB JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,COVENTRY SCHOLORS ,,STATE BOARD,1100,,,CHANOOR BANTALAB JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,D A V SCHOOL UDHAMPUR,,STATE BOARD,600,,,UDHAMPUR,Jammu and Kashmir ,Udhampur
41,RAKESH SHARMA ,D R S KIDS ,,STATE BOARD,1000,,,JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,DEWAN DEVI SEC SCHOOL,,STATE BOARD,1200,,,JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,DR. AMBEDKAR CONVENT SCHOOL,,STATE,1200,,,"OPP. RADIO STATION JAMMU",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,DREAM LAND SCHOOL,,STATE BOARD,500,,,UDHAMPUR,Jammu and Kashmir ,Udhampur
41,RAKESH SHARMA ,FATIMA CONVENT SCHOOL,,STATE BOARD,1800,,,BISHNAH JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,GANDIAN MOMRIAL PUBLIC SCHOOL ,,STATE BOARD,500,,,R S PURA,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,GOLDEN ROOTSSCHOOL,,STATE BOARD,250,,,JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,HAPPY MODEL SCHOOL,,STATE BOARD,800,,,UDHAMPUR,Jammu and Kashmir ,Udhampur
41,RAKESH SHARMA ,INDRA PUBLIC HIGH SCHOOL,,STATE BOARD,500,,,JANIPUR JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,J.K PUBLIC SCHOOL,,STATE BOARD,800,,,PANJTHIRTHI JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,JAGRITI NIKETAN HIGH SCHOOL,,STATE BOARD,500,,,KACHI CHAWANI,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,JAIN HIGH SEC SCHOOL,,STATE BOARD,300,,,RANI PARK JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,JK PUBLIC SCHOOL,,STATE,800,,,"PANITIRTHI COURT ROAD JAMMU",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,LAWRENCE JOSHI,,STATE,1000,,,"NAGROTA BYE PASS JAMMU",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,LAWRENCE PUBLIC SCHOOL,,STATE BOARD,1000,,,PANJTHIRTHI JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,LEARNING TAMPEL  SCHOOL,,STATE BOARD,800,,,KATHUA,Jammu and Kashmir ,Kathua
41,RAKESH SHARMA ,LITTLE ANGEL SCHOOL,,STATE BOARD,600,,,VIJAY PUR,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,LITTLE ANGEL SCHOOL,,STATE BOARD,1000,,,KATHUA,Jammu and Kashmir ,Kathua
41,RAKESH SHARMA ,LUTHRA ACADMY,,STATE BOARD,800,,,TALAB TILLO JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,MAY FAIR SCHOOL ,,STATE BOARD,900,,,chand nagar jammu,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,MENARAVA HIGH SCHOOL,,STATE BOARD,900,,,KATHUA,Jammu and Kashmir ,Kathua
41,RAKESH SHARMA ,M.N.D.P.S SCHOOL,,STATE BOARD,800,,,R S PURA,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,NATIONAL PUBLIC SCHOOL,,STATE BOARD,600,,,MIRAN SAHIB R S PURA,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,NATIONAL PUBLIC SCHOOL ,,STATE BOARD,400,,,R S PURA,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,ORIENTAL ACEDMAY SEN SEC. SCHOOL,,STATE BOARD,800,,,MOH AFAGAN JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,R S JAGRATI MISSION,,STATE BOARD,1700,,,KATHUA,Jammu and Kashmir ,Kathua
41,RAKESH SHARMA ,ROSE PUBLIC SCHOOL,,STATE BOARD,500,,,JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,S P SMART SCHOOL,,STATE BOARD,1000,,,JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,S. D. TARA PURI PUBLIC SCHOOL,,STATE BOARD,500,,,GANDHI NAGAR JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SAI INTERNATIONAL SCHOOL,,STATE BOARD,1500,,,HIRANAGAR,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SECREAD ERA PUBLIC SCHOOL,,STATE BOARD,600,,,UDHAMPUR,Jammu and Kashmir ,Udhampur
41,RAKESH SHARMA ,SHANGRILLA PUBLIC SCHOOL,,STATE BOARD,700,,,SARWAL JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SHIKSHA NIKETAN,,STATE BOARD,3000,,,JEEWAN NAGAR JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SHRI GURU GOVIND SINGH PUBLIC SCHOOL,,STATE BOARD,1200,,,KUNJAWANI TALAB JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SP HIGH SR SEC SCHOOL,,STATE BOARD,600,,,EXCHANGE ROAD JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SP SMART SCHOOL,,STATE,1000,,,"EXCHANGE ROAD JAMMU",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SPRING DALE ,,STATE,1200,,,"RAMNEEK VIHAR KATHUA",Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SPRING DALE SCHOOL,,STATE BOARD,500,,,CANAL ROAD JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SPRING DALE SCHOOL KATHUA,,STATE BOARD,1400,,,main kathu,Jammu and Kashmir ,Kathua
41,RAKESH SHARMA ,ST. FRANCIS CONVENT,,STATE BOARD,2200,,,AKHNOOR MAIN JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,ST. PAUL SCHOOL,,STATE BOARD,1600,,,GANGYAL JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,ST. PEETER ,,STATE BOARD,1800,,,B C ROAD JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,ST. PETER HIGH SCHOOL(GROUP OF SCHOOLS),,STATE BOARD,2500,,,KARAN BAGH,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,ST. XAVIER CONVENT SCHOOL,,STATE BOARD,1200,,,BARNAI ROAD JAMMU,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,SUN SHINE SCHOOL R SPURA,,STATE BOARD,980,,,mussa chack ,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,VALLEY VIEW SCHOOLN,,STATE BOARD,1500,,,rajouri,Jammu and Kashmir ,Jammu
41,RAKESH SHARMA ,VIVEK NIKTEN,,STATE BOARD,400,,,UDHAMPUR,Jammu and Kashmir ,Udhampur
41,RAKESH SHARMA ,WAZIR ZANKINATH SCHOOL ,,STATE BOARD,600,,,JAMMU,Jammu and Kashmir ,Jammu
